backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,118,surface,mwpm,7,11,10000,mcm_0.25_1_2,,0.021500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_0.25_1_2,,0.002200,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_0.5_1_2,,0.022600,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_0.5_1_2,,0.001800,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1.0_1_2,,0.021600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,mcm_0.25_1_2,,0.020000,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_2.0_1_2,,0.022600,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1.0_1_2,,0.001900,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_4.0_1_2,,0.023400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_2.0_1_2,,0.001600,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_0.25_2,,0.021100,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_0.5_2,,0.022200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,mcm_0.5_1_2,,0.019800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_4.0_1_2,,0.001400,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_0.75_2,,0.018900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1_0.25_2,,0.001400,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_1.0_2,,0.022200,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_1.5_2,,0.022600,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1_0.5_2,,0.001500,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,mcm_1.0_1_2,,0.019100,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_2.0_2,,0.021400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1_0.75_2,,0.001300,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_0.25_1,,0.020600,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_0.5_1,,0.021700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1_1.0_2,,0.001700,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1.0_1,,0.023200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1_1.5_2,,0.001600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,mcm_2.0_1_2,,0.019600,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_2.0_1,,0.023100,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_4.0_1,,0.023400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1_2.0_2,,0.002300,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_0.25,,0.021100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_0.25_1,,0.001600,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_0.5,,0.020100,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,mcm_4.0_1_2,,0.021600,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_0.75,,0.020700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_0.5_1,,0.001900,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_1.0,,0.019000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_1.0_1,,0.001700,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,mcm_1_1.5,,0.022300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,mcm_1_0.25_2,,0.017700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,mcm_2.0_1,,0.001600,N/A,N/A,N/A
