backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,188,surface,mwpm,9,20,10000,mcm_13.29_0.25,,0.006000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,30,10000,mcm_13.29_0.25,,0.013200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,20,10000,mcm_7.33_0.5,,0.003700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,40,10000,mcm_13.29_0.25,,0.010400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,20,10000,mcm_13.29_0.25,,0.024200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,50,10000,mcm_13.29_0.25,,0.012200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,20,10000,mcm_6.37_0.75,,0.003400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,60,10000,mcm_13.29_0.25,,0.009400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,30,10000,mcm_7.33_0.5,,0.008300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,30,10000,mcm_13.29_0.25,,0.026300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,70,10000,mcm_13.29_0.25,,0.015100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,20,10000,mcm_6.10_1.0,,0.003700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,20,10000,mcm_13.29_0.25,,0.112900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,40,10000,mcm_7.33_0.5,,0.007200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,80,10000,mcm_13.29_0.25,,0.018100,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,20,10000,mcm_7.33_0.5,,0.016400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,20,10000,mcm_1_0.25,,0.001700,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,50,10000,mcm_13.29_0.25,,0.026500,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,40,10000,mcm_13.29_0.25,,0.047200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,30,10000,mcm_13.29_0.25,,0.097400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,30,10000,mcm_6.37_0.75,,0.007900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,50,10000,mcm_7.33_0.5,,0.007000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,20,10000,mcm_1_0.5,,0.001900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,60,10000,mcm_7.33_0.5,,0.006200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,40,10000,mcm_13.29_0.25,,0.081000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,60,10000,mcm_13.29_0.25,,0.033900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,40,10000,mcm_6.37_0.75,,0.005500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,30,10000,mcm_6.10_1.0,,0.007500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,20,10000,mcm_1_0.75,,0.002200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,30,10000,mcm_7.33_0.5,,0.018600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,80,10000,mcm_13.29_0.25,,0.025300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,70,10000,mcm_13.29_0.25,,0.035100,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,20,10000,mcm_6.37_0.75,,0.016300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,70,10000,mcm_7.33_0.5,,0.009800,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,50,10000,mcm_13.29_0.25,,0.075100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,20,10000,mcm_1_1.0,,0.002100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,50,10000,mcm_6.37_0.75,,0.007200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,30,10000,mcm_1_0.25,,0.003500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,20,10000,mcm_7.33_0.5,,0.096300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,40,10000,mcm_6.10_1.0,,0.006900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,80,10000,mcm_7.33_0.5,,0.011600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,60,10000,mcm_13.29_0.25,,0.085400,N/A,N/A,N/A
