backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_0.25_1_2,,0.096000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_0.25_1_2,,0.090900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_0.25_1_2,,0.092000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_0.25_1_2,,0.109300,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_0.25_1_2,,0.105100,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_0.25_1_2,,0.109800,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_0.5_1_2,,0.096900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_0.5_1_2,,0.096900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_0.5_1_2,,0.100100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_0.5_1_2,,0.110900,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_0.5_1_2,,0.113000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_0.5_1_2,,0.114300,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_1_2,,0.115700,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_1_2,,0.114900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_1_2,,0.113500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_1_1_2,,0.126900,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_1_1_2,,0.129500,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_1_1_2,,0.130200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_2_1_2,,0.154700,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_2_1_2,,0.157000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_2_1_2,,0.152200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_2_1_2,,0.170600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_2_1_2,,0.176700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_2_1_2,,0.173700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_4_1_2,,0.240800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_4_1_2,,0.245700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_4_1_2,,0.239200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_0.25_2,,0.114400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_0.25_2,,0.118400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_0.25_2,,0.113400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_4_1_2,,0.258600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_4_1_2,,0.256200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_4_1_2,,0.263700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_0.5_2,,0.115800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_0.5_2,,0.115500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_0.5_2,,0.116900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_1_0.25_2,,0.134200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_1_0.25_2,,0.131000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_1_0.25_2,,0.131200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_0.75_2,,0.118000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_0.75_2,,0.115800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_0.75_2,,0.117400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_1.0_2,,0.115400,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_1.0_2,,0.116300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_1.0_2,,0.115100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_1_0.5_2,,0.136300,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_1_0.5_2,,0.131600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_1_0.5_2,,0.135000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_1.5_2,,0.116100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_1.5_2,,0.115000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_1.5_2,,0.117400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_1_0.75_2,,0.132500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_1_0.75_2,,0.133100,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_1_0.75_2,,0.131900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_2.0_2,,0.117200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_2.0_2,,0.112300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_2.0_2,,0.116200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_1_1.0_2,,0.133300,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_1_1.0_2,,0.133900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_1_1.0_2,,0.132500,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_0.25_1,,0.093100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_0.25_1,,0.092700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_0.25_1,,0.091900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_0.5_1,,0.100300,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_0.5_1,,0.099100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_1_1.5_2,,0.129800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_0.5_1,,0.097900,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_1_1.5_2,,0.132800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_1_1.5_2,,0.132000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_1_1,,0.117100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_1_1,,0.115800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_1_1,,0.113300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_1_2.0_2,,0.132500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_1_2.0_2,,0.131100,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_1_2.0_2,,0.133400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_2_1,,0.155400,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_2_1,,0.159800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_2_1,,0.149100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,real_flamingo_0.25_1,,0.107800,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,real_flamingo_0.25_1,,0.109600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,real_flamingo_0.25_1,,0.105300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,real_flamingo_4_1,,0.241600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,real_flamingo_4_1,,0.243300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,real_flamingo_4_1,,0.239700,N/A,N/A,N/A
