backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,188,surface,mwpm,9,100,10000,mcm_0.25_1_2,,0.007300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_0.25_1_2,,0.008000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_0.5_1_2,,0.007500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_0.25_1_2,,0.043800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1.0_1_2,,0.007200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_0.5_1_2,,0.008400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1.25_1_2,,0.007300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1.0_1_2,,0.008200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_0.5_1_2,,0.043400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1.5_2_2,,0.009400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1.25_1_2,,0.008000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1.75_1_2,,0.007900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_2.0_1_2,,0.008200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_1.0_1_2,,0.045100,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1.5_2_2,,0.009700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1_0.25_2,,0.006100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1_0.5_2,,0.006900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1.75_1_2,,0.008200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_1.25_1_2,,0.043000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1_0.75_2,,0.008400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_2.0_1_2,,0.009100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1_1.0_2,,0.007000,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_1.5_2_2,,0.048500,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1_0.25_2,,0.007100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1_1.5_2,,0.007800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1_2.0_2,,0.009600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1_0.5_2,,0.008100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_1.75_1_2,,0.046100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_0.25_1,,0.007400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1_0.75_2,,0.008500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_0.5_1,,0.006200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_0.75_1,,0.007500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_2.0_1_2,,0.045800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1_1.0_2,,0.008100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1.0_1,,0.007600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1_1.5_2,,0.009300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1.25_1,,0.007500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_1_0.25_2,,0.043500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_1.5_1,,0.008200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_1_2.0_2,,0.010000,N/A,N/A,N/A
