backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,188,surface,mwpm,9,1,10000,mcm_0.25_1_2,,0.084700,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,mcm_0.25_1_2,,0.079100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,mcm_0.25_1_2,,0.082800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,mcm_0.25_1_2,,0.100300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,mcm_0.25_1_2,,0.101600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,mcm_0.25_1_2,,0.097200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,mcm_0.5_1_2,,0.082800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,mcm_0.5_1_2,,0.085500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,mcm_0.5_1_2,,0.084600,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,mcm_1.0_1_2,,0.081100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,mcm_0.5_1_2,,0.098700,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,mcm_1.0_1_2,,0.085200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,mcm_0.5_1_2,,0.098200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,mcm_0.5_1_2,,0.097800,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,mcm_1.0_1_2,,0.085500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,mcm_2_1_2,,0.087900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,mcm_2_1_2,,0.090100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,mcm_2_1_2,,0.089000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,mcm_1.0_1_2,,0.103100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,mcm_1.0_1_2,,0.099400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,mcm_1.0_1_2,,0.098500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,mcm_4_1_2,,0.097600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,mcm_4_1_2,,0.097600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,mcm_4_1_2,,0.096400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,mcm_2_1_2,,0.106300,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,mcm_2_1_2,,0.105400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,3,10000,mcm_2_1_2,,0.102000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,1,10000,mcm_1_0.25_2,,0.085600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,1,10000,mcm_1_0.25_2,,0.085700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,1,10000,mcm_1_0.25_2,,0.086600,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,3,10000,mcm_4_1_2,,0.114900,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,3,10000,mcm_4_1_2,,0.114700,N/A,N/A,N/A
