backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_0.25_1_2,,0.048900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_0.25_1_2,,0.003400,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_0.5_1_2,,0.051100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_0.5_1_2,,0.003300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,real_flamingo_0.25_1_2,,0.016700,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_0.75_1_2,,0.052900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_0.75_1_2,,0.004800,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1_1_2,,0.055700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_1_1_2,,0.006200,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,100,10000,real_flamingo_0.25_1_2,,0.047700,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1.25_1_2,,0.059000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,real_flamingo_0.5_1_2,,0.020500,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1.5_1_2,,0.062800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_1.25_1_2,,0.006800,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1.75_1_2,,0.063700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_1.5_1_2,,0.007800,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_2_1_2,,0.067900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,real_flamingo_0.75_1_2,,0.021800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_1.75_1_2,,0.008500,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1_0.25_2,,0.055500,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,100,10000,real_flamingo_0.5_1_2,,0.047100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,real_flamingo_0.25_1_2,,0.011800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_2_1_2,,0.010500,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1_0.5_2,,0.053700,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1_0.75_2,,0.055300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,11,10000,real_flamingo_1_1_2,,0.024000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_1_0.25_2,,0.004400,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1_1.0_2,,0.055100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,11,10000,real_flamingo_1_0.5_2,,0.004800,N/A,N/A,N/A
real_mcm,118,surface,mwpm,7,11,10000,real_flamingo_1_1.5_2,,0.058200,N/A,N/A,N/A
