backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.25_1,,0.007070,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.25_1,,0.001650,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.5_1,,0.007780,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.25_1,,0.028750,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1.0_1,,0.010410,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_0.25_1,,0.046230,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.5_1,,0.002110,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_0.25_1,,0.045600,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.25_1,,0.001540,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_2.0_1,,0.017110,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.5_1,,0.031400,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1.0_1,,0.003360,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_4.0_1,,0.039970,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_0.5_1,,0.049040,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.25,,0.010140,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1.0_1,,0.034510,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.25_1,,0.011320,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.5,,0.010410,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_2.0_1,,0.008110,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_0.5_1,,0.049100,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.5_1,,0.001710,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.75,,0.010510,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.0,,0.010700,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1.0_1,,0.054070,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_2.0_1,,0.043310,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_4.0_1,,0.027990,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.5,,0.010750,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_0.25_1,,0.019530,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_1.0_1,,0.054690,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_2.0,,0.010810,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1.0_1,,0.002770,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.25,,0.003140,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_4.0_1,,0.067570,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_2.0_1,,0.064380,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.5,,0.003350,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.5_1,,0.012750,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,70,100000,real_flamingo_0.25_1,,0.026420,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.25,,0.033660,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.75,,0.003240,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_2.0_1,,0.065700,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_2.0_1,,0.005960,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_0.25_1,,0.005920,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1.0,,0.003170,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.5,,0.033950,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_4.0_1,,0.089710,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1.5,,0.003600,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.75,,0.034600,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_0.5_1,,0.021330,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_2.0,,0.003760,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.25,,0.051240,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1.0_1,,0.015290,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_1.0,,0.034670,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_4.0_1,,0.093700,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_4.0_1,,0.024120,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_0.25_1,,0.007380,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_1.5,,0.035400,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.5,,0.051960,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_1_0.25,,0.053360,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.25,,0.002490,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_2.0,,0.035640,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.75,,0.052330,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,70,100000,real_flamingo_0.5_1,,0.028810,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_1_0.5,,0.053540,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.5,,0.002540,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_2.0_1,,0.022540,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_1.0,,0.053030,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_1.0_1,,0.025160,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_0.5_1,,0.006660,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,70,100000,real_flamingo_0.25_1,,0.010130,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_1_0.75,,0.054340,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_1.5,,0.054850,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.75,,0.002620,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_2.0,,0.054860,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_1_1.0,,0.053820,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1.0,,0.002630,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_1_1.5,,0.055270,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1.5,,0.002790,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,70,100000,real_flamingo_1.0_1,,0.032990,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_4.0_1,,0.047870,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_2.0_1,,0.034740,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,70,100000,real_flamingo_1_2.0,,0.056110,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_0.5_1,,0.008140,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_2.0,,0.002850,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_1.0_1,,0.008280,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_0.25,,0.014420,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_0.5,,0.014980,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,70,100000,real_flamingo_2.0_1,,0.043800,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_4.0_1,,0.063350,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,70,100000,real_flamingo_0.5_1,,0.011840,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_0.75,,0.015180,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_2.0_1,,0.013840,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_1.0_1,,0.009990,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_1.0,,0.015180,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_1_0.25,,0.023420,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_1.5,,0.015530,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_1_0.5,,0.024480,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_2.0,,0.016140,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,70,100000,real_flamingo_4.0_1,,0.076160,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_1_0.75,,0.024900,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,70,100000,real_flamingo_1.0_1,,0.017030,N/A,N/A,N/A
