backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1,,0.011240,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_2_1,,0.052720,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1,,0.002920,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_4_1,,0.146720,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_2_1,,0.033940,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_6_1,,0.276750,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1,,0.003090,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_8_1,,0.388200,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_4_1,,0.151010,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_2_1,,0.055340,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_6_1,,0.331200,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_8_1,,0.450610,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_4_1,,0.256260,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_6_1,,0.443570,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_8_1,,0.494760,N/A,N/A,N/A
