backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.25,,0.022160,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.5,,0.078440,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.25,,0.015240,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.75,,0.149890,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1.0,,0.221660,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.5,,0.091890,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1.5,,0.291110,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.25,,0.011810,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_2.0,,0.348620,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.75,,0.208670,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.5,,0.124560,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1.0,,0.325020,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1.5,,0.404970,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.75,,0.304850,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_2.0,,0.456780,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1.0,,0.427480,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1.5,,0.477370,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_2.0,,0.493710,N/A,N/A,N/A
