backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1,,0.010880,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_2,,0.038260,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1,,0.003240,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_3,,0.076220,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_4,,0.122710,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_2,,0.022830,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_6,,0.169410,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1,,0.002410,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_3,,0.070720,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_8,,0.218860,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_4,,0.137170,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_2,,0.038380,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_6,,0.214400,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_3,,0.139990,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_8,,0.287630,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_4,,0.271280,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_6,,0.380970,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_8,,0.446640,N/A,N/A,N/A
