backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,188,surface,mwpm,9,100,10000,mcm_13.29_0.25,,0.483800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_7.33_0.5,,0.322400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_13.29_0.25,,0.488800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.37_0.75,,0.260200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_13.29_0.25,,0.488000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_7.33_0.5,,0.330700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.0,,0.245000,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_13.29_0.25,,0.488900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.25,,0.246200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.37_0.75,,0.263100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_7.33_0.5,,0.333200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.5,,0.244500,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_13.29_0.25,,0.492200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.0,,0.243500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_7.33_0.5,,0.428200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.75,,0.252200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_6.37_0.75,,0.269500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_2.0,,0.251200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.25,,0.251200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_6.10_1.0,,0.248500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.37_0.75,,0.382900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.5,,0.250600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_7.33_0.5,,0.404700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_6.10_1.25,,0.250200,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_13.29_0.25,,0.493300,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.75,,0.249600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.0,,0.374400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_2.0,,0.252200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_6.10_1.5,,0.255000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_6.37_0.75,,0.349000,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.25,,0.374300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_6.10_1.75,,0.253600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.5,,0.382400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_6.10_1.0,,0.336400,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_7.33_0.5,,0.378300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,200,10000,mcm_6.10_2.0,,0.259000,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.75,,0.374500,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_6.10_1.25,,0.338100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_2.0,,0.380600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_6.37_0.75,,0.324600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_6.10_1.5,,0.343800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_6.10_1.75,,0.333700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_6.10_1.0,,0.306600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,200,10000,mcm_6.10_2.0,,0.346500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_6.10_1.25,,0.306400,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_6.10_1.5,,0.305600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_6.10_1.75,,0.310800,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,200,10000,mcm_6.10_2.0,,0.316500,N/A,N/A,N/A
