backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,188,surface,mwpm,9,100,10000,mcm_13.29_0.25,,0.183400,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_13.29_0.25,,0.181900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_13.29_0.25,,0.178800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_7.33_0.5,,0.141900,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_7.33_0.5,,0.140900,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_7.33_0.5,,0.143500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.37_0.75,,0.137200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.37_0.75,,0.138100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.37_0.75,,0.137400,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.0,,0.136600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.0,,0.139700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.0,,0.138300,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.25,,0.136000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.25,,0.138400,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.25,,0.136100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.5,,0.136000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.5,,0.133500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.5,,0.136700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_1.75,,0.138400,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_1.75,,0.136500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_1.75,,0.135100,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,100,10000,mcm_6.10_2.0,,0.135800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,100,10000,mcm_6.10_2.0,,0.137400,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,100,10000,mcm_6.10_2.0,,0.132500,N/A,N/A,N/A
