backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm,376,surface,mwpm,13,13,10000,mcm_13.29_0.25,,0.244800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_13.29_0.25,,0.240500,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_13.29_0.25,,0.242700,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,13,10000,mcm_7.33_0.5,,0.205200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_7.33_0.5,,0.208800,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_7.33_0.5,,0.202600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,13,10000,mcm_6.37_0.75,,0.203600,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_6.37_0.75,,0.201200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_6.37_0.75,,0.203600,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,13,10000,mcm_6.10_1.0,,0.202800,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_6.10_1.0,,0.204700,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_6.10_1.0,,0.197100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,13,10000,mcm_6.10_1.25,,0.198000,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_6.10_1.25,,0.195000,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_6.10_1.25,,0.199100,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,13,10000,mcm_6.10_1.5,,0.201700,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_6.10_1.5,,0.198200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_6.10_1.5,,0.199200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_6.10_1.75,,0.200300,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,13,10000,mcm_6.10_1.75,,0.203200,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_6.10_1.75,,0.202200,N/A,N/A,N/A
real_mcm,274,surface,mwpm,11,13,10000,mcm_6.10_2.0,,0.202500,N/A,N/A,N/A
real_mcm,376,surface,mwpm,13,13,10000,mcm_6.10_2.0,,0.201900,N/A,N/A,N/A
real_mcm,188,surface,mwpm,9,13,10000,mcm_6.10_2.0,,0.201500,N/A,N/A,N/A
