backend,backend_size,code,distance,cycles,state,routing_method,layout_method,gate_overhead_mean,gate_overhead_var,tq_gate_overhead_mean,tq_gate_overhead_var,swap_overhead_mean,swap_overhead_var
custom_grid,408,bacon,20,20,,,,0.0,0.0,0.0,0.0,0.0,0.0
custom_heavyhex,408,bacon,17,17,,,,4618.458,1852.002236,4618.458,1852.002236,4618.458,1852.002236
custom_grid,408,steane,9,9,,,,9781.151,69263.650199,9781.151,69263.650199,9781.151,69263.650199
custom_heavyhex,408,steane,9,9,,,,13227.585,72164.128775,13227.585,72164.128775,13227.585,72164.128775
custom_heavyhex,408,color,11,11,,,,22204.63,318192.21310000005,22204.63,318192.21310000005,22204.63,318192.21310000005
custom_heavyhex,408,surface,11,11,,,,24113.301,232256.56839899998,24113.301,232256.56839899998,24113.301,232256.56839899998
custom_grid,408,color,13,13,,,,21419.895,252138.211975,21419.895,252138.211975,21419.895,252138.211975
custom_grid,408,surface,13,13,,,,20637.994,707913.671964,20637.994,707913.671964,20637.994,707913.671964
custom_heavyhex,408,hh,11,11,,,,32722.8,372149.828,32722.8,372149.828,32722.8,372149.828
custom_grid,408,hh,12,12,,,,24356.229,113333.958559,24356.229,113333.958559,24356.229,113333.958559
custom_grid,408,gross,200,200,,,,58525.869,173601.10183899998,58525.869,173601.10183899998,58525.869,173601.10183899998
custom_heavyhex,408,gross,145,145,,,,89767.591,301334.58571899997,89767.591,301334.58571899997,89767.591,301334.58571899997
