backend,backend_size,code,distance,cycles,state,routing_method,layout_method,gate_overhead_mean,gate_overhead_var,tq_gate_overhead_mean,tq_gate_overhead_var,swap_overhead_mean,swap_overhead_var
custom_grid,289,surface,11,11,,sabre,trivial,11561.0,0.0,11561.0,0.0,11561.0,0.0
custom_grid,289,hh,10,10,,sabre,trivial,11790.0,0.0,11790.0,0.0,11790.0,0.0
custom_grid,289,hh,10,10,,sabre,sabre,4829.0,0.0,4829.0,0.0,4829.0,0.0
custom_grid,289,surface,11,11,,sabre,sabre,2713.0,0.0,2713.0,0.0,2713.0,0.0
custom_grid,289,surface,11,11,,sabre,dense,12775.0,0.0,12775.0,0.0,12775.0,0.0
custom_grid,289,hh,10,10,,sabre,dense,14167.0,0.0,14167.0,0.0,14167.0,0.0
custom_grid,289,gross,144,144,,sabre,dense,58759.0,0.0,58759.0,0.0,58759.0,0.0
custom_grid,289,gross,144,144,,sabre,trivial,56694.0,0.0,56694.0,0.0,56694.0,0.0
custom_grid,289,color,11,11,,sabre,dense,13996.0,0.0,13996.0,0.0,13996.0,0.0
custom_grid,289,color,11,11,,sabre,trivial,12244.0,0.0,12244.0,0.0,12244.0,0.0
custom_grid,289,color,11,11,,sabre,sabre,5072.0,0.0,5072.0,0.0,5072.0,0.0
custom_grid,289,gross,144,144,,sabre,sabre,44327.0,0.0,44327.0,0.0,44327.0,0.0
custom_grid,289,color,11,11,,basic,dense,28355.0,0.0,28355.0,0.0,28355.0,0.0
custom_grid,289,color,11,11,,basic,trivial,27424.0,0.0,27424.0,0.0,27424.0,0.0
custom_grid,289,bacon,17,17,,basic,trivial,0.0,0.0,0.0,0.0,0.0,0.0
custom_grid,289,bacon,17,17,,basic,sabre,0.0,0.0,0.0,0.0,0.0,0.0
custom_grid,289,bacon,17,17,,sabre,dense,2173.0,0.0,2173.0,0.0,2173.0,0.0
custom_grid,289,bacon,17,17,,sabre,trivial,0.0,0.0,0.0,0.0,0.0,0.0
