backend,backend_size,code,distance,cycles,state,routing_method,layout_method,gate_overhead_mean,gate_overhead_var,tq_gate_overhead_mean,tq_gate_overhead_var,swap_overhead_mean,swap_overhead_var
custom_heavyhex,290,surface,9,9,,sabre,trivial,11585.0,0.0,11585.0,0.0,11585.0,0.0
custom_heavyhex,290,hh,9,9,,sabre,trivial,15397.0,0.0,15397.0,0.0,15397.0,0.0
custom_heavyhex,290,surface,9,9,,sabre,dense,9091.0,0.0,9091.0,0.0,9091.0,0.0
custom_heavyhex,290,surface,9,9,,sabre,sabre,4293.0,0.0,4293.0,0.0,4293.0,0.0
custom_heavyhex,290,hh,9,9,,sabre,dense,13369.0,0.0,13369.0,0.0,13369.0,0.0
custom_heavyhex,290,hh,9,9,,sabre,sabre,7015.0,0.0,7015.0,0.0,7015.0,0.0
custom_heavyhex,290,color,9,9,,sabre,dense,10511.0,0.0,10511.0,0.0,10511.0,0.0
custom_heavyhex,290,color,9,9,,sabre,sabre,5382.0,0.0,5382.0,0.0,5382.0,0.0
custom_heavyhex,290,color,9,9,,sabre,trivial,11292.0,0.0,11292.0,0.0,11292.0,0.0
custom_heavyhex,290,bacon,13,13,,sabre,dense,1596.0,0.0,1596.0,0.0,1596.0,0.0
custom_heavyhex,290,bacon,13,13,,sabre,sabre,860.0,0.0,860.0,0.0,860.0,0.0
custom_heavyhex,290,bacon,13,13,,sabre,trivial,2284.0,0.0,2284.0,0.0,2284.0,0.0
custom_heavyhex,290,bacon,13,13,,basic,sabre,1747.0,0.0,1747.0,0.0,1747.0,0.0
custom_heavyhex,290,bacon,13,13,,basic,trivial,3277.0,0.0,3277.0,0.0,3277.0,0.0
custom_heavyhex,290,bacon,13,13,,basic,dense,2452.0,0.0,2452.0,0.0,2452.0,0.0
custom_heavyhex,290,bacon,13,13,,stochastic,sabre,1893.0,0.0,1893.0,0.0,1893.0,0.0
custom_heavyhex,290,bacon,13,13,,stochastic,dense,3145.0,0.0,3145.0,0.0,3145.0,0.0
custom_heavyhex,290,steane,9,9,,sabre,dense,12280.0,0.0,12280.0,0.0,12280.0,0.0
custom_heavyhex,290,bacon,13,13,,stochastic,trivial,4212.0,0.0,4212.0,0.0,4212.0,0.0
custom_heavyhex,290,steane,9,9,,sabre,trivial,13642.0,0.0,13642.0,0.0,13642.0,0.0
custom_heavyhex,290,steane,9,9,,sabre,sabre,7257.0,0.0,7257.0,0.0,7257.0,0.0
custom_heavyhex,290,color,9,9,,basic,sabre,12134.0,0.0,12134.0,0.0,12134.0,0.0
custom_heavyhex,290,color,9,9,,basic,dense,16033.0,0.0,16033.0,0.0,16033.0,0.0
custom_heavyhex,290,color,9,9,,basic,trivial,17689.0,0.0,17689.0,0.0,17689.0,0.0
custom_heavyhex,290,steane,9,9,,basic,trivial,21988.0,0.0,21988.0,0.0,21988.0,0.0
custom_heavyhex,290,steane,9,9,,basic,dense,17573.0,0.0,17573.0,0.0,17573.0,0.0
custom_heavyhex,290,steane,9,9,,basic,sabre,15196.0,0.0,15196.0,0.0,15196.0,0.0
custom_heavyhex,290,surface,9,9,,basic,sabre,15580.0,0.0,15580.0,0.0,15580.0,0.0
custom_heavyhex,290,surface,9,9,,basic,dense,22609.0,0.0,22609.0,0.0,22609.0,0.0
custom_heavyhex,290,surface,9,9,,basic,trivial,26828.0,0.0,26828.0,0.0,26828.0,0.0
custom_heavyhex,290,steane,9,9,,stochastic,dense,12193.0,0.0,12193.0,0.0,12193.0,0.0
custom_heavyhex,290,steane,9,9,,stochastic,sabre,9975.0,0.0,9975.0,0.0,9975.0,0.0
custom_heavyhex,290,steane,9,9,,stochastic,trivial,12582.0,0.0,12582.0,0.0,12582.0,0.0
custom_heavyhex,290,color,9,9,,stochastic,dense,14375.0,0.0,14375.0,0.0,14375.0,0.0
custom_heavyhex,290,color,9,9,,stochastic,sabre,11113.0,0.0,11113.0,0.0,11113.0,0.0
custom_heavyhex,290,color,9,9,,stochastic,trivial,15353.0,0.0,15353.0,0.0,15353.0,0.0
custom_heavyhex,290,surface,9,9,,stochastic,sabre,9552.0,0.0,9552.0,0.0,9552.0,0.0
custom_heavyhex,290,surface,9,9,,stochastic,dense,14733.0,0.0,14733.0,0.0,14733.0,0.0
custom_heavyhex,290,surface,9,9,,stochastic,trivial,18133.0,0.0,18133.0,0.0,18133.0,0.0
custom_heavyhex,290,hh,9,9,,stochastic,sabre,11287.0,0.0,11287.0,0.0,11287.0,0.0
custom_heavyhex,290,hh,9,9,,stochastic,dense,17693.0,0.0,17693.0,0.0,17693.0,0.0
custom_heavyhex,290,hh,9,9,,stochastic,trivial,19901.0,0.0,19901.0,0.0,19901.0,0.0
custom_heavyhex,290,hh,9,9,,basic,trivial,31611.0,0.0,31611.0,0.0,31611.0,0.0
custom_heavyhex,290,hh,9,9,,basic,dense,27590.0,0.0,27590.0,0.0,27590.0,0.0
custom_heavyhex,290,hh,9,9,,basic,sabre,19647.0,0.0,19647.0,0.0,19647.0,0.0
