backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_grid,512,hh,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.01,0.000100,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.01,0.000100,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.1,0.264300,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_grid,512,gross,bposd,242,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,gross,bposd,171,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.1,0.372800,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,gross,bposd,171,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.1,0.314800,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,color,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.1,0.333400,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_line,512,bacon,bposd,21,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_line,512,gross,bposd,256,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_cube,512,steane,bposd,9,1,10000,pm3,0.1,0.496700,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.01,0.000200,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.1,0.411300,N/A,N/A,N/A
custom_full,512,color,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.01,0.000200,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.1,0.414100,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,512,steane,bposd,9,1,10000,sd6,0.1,0.496900,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.1,0.412600,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.01,0.000000,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,bacon,bposd,21,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,color,bposd,15,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.1,0.293500,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,pm3,0.1,0.416000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.01,0.000200,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,hh,bposd,13,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_cube,512,bacon,bposd,17,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_grid,512,color,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,steane,bposd,9,1,10000,pm3,0.1,0.497400,N/A,N/A,N/A
custom_grid,512,bacon,bposd,21,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,bacon,bposd,21,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,color,bposd,15,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_line,512,color,bposd,15,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,512,color,bposd,15,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,gross,bposd,242,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,pm3,0.01,0.090000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.01,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_line,512,hh,bposd,13,1,10000,pm3,0.1,0.291800,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,sd6,0.01,0.100000,N/A,N/A,N/A
custom_full,512,bacon,bposd,21,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.01,0.000000,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,512,bacon,bposd,21,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,steane,bposd,9,1,10000,pm3,0.0001,0.012600,N/A,N/A,N/A
custom_full,512,steane,bposd,9,1,10000,sd6,0.0001,0.004800,N/A,N/A,N/A
custom_full,512,steane,bposd,9,1,10000,pm3,0.0001,0.003900,N/A,N/A,N/A
custom_cube,512,steane,bposd,9,1,10000,pm3,0.0001,0.011200,N/A,N/A,N/A
custom_cube,512,color,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_grid,512,steane,bposd,9,1,10000,pm3,0.1,0.502300,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,sd6,0.1,1.000000,N/A,N/A,N/A
custom_line,512,steane,bposd,9,1,10000,pm3,0.0001,0.002900,N/A,N/A,N/A
custom_full,512,gross,bposd,256,1,10000,pm3,0.1,1.000000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.1,0.137100,N/A,N/A,N/A
custom_cube,512,bacon,bposd,17,1,10000,pm3,0.001,0.000900,N/A,N/A,N/A
custom_grid,512,bacon,bposd,21,1,10000,pm3,0.001,0.000300,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.1,0.139600,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.1,0.134400,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.1,0.131100,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.1,0.137200,N/A,N/A,N/A
custom_line,512,bacon,bposd,21,1,10000,pm3,0.001,0.016900,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.1,0.134700,N/A,N/A,N/A
custom_full,512,steane,bposd,9,1,10000,sd6,0.001,0.034200,N/A,N/A,N/A
custom_line,512,gross,bposd,256,1,10000,pm3,0.01,1.000000,N/A,N/A,N/A
custom_full,512,steane,bposd,9,1,10000,pm3,0.001,0.038600,N/A,N/A,N/A
custom_line,512,gross,bposd,256,1,10000,pm3,0.001,0.980000,N/A,N/A,N/A
custom_line,512,gross,bposd,256,1,10000,pm3,0.1,1.000000,N/A,N/A,N/A
custom_full,512,bacon,bposd,21,1,10000,sd6,0.01,0.292600,N/A,N/A,N/A
custom_full,512,bacon,bposd,21,1,10000,pm3,0.01,0.289500,N/A,N/A,N/A
custom_grid,512,color,bposd,15,1,10000,pm3,0.001,0.000100,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.1,0.134300,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,sd6,0.1,0.144900,N/A,N/A,N/A
custom_full,512,surface,bposd,15,1,10000,pm3,0.1,0.134800,N/A,N/A,N/A
custom_line,512,surface,bposd,15,1,10000,pm3,0.1,0.135400,N/A,N/A,N/A
