backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,729,steane,bposd,27,3,1000,sd6,0.02,0.000000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,sd6,0.01,0.000000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,sd6,0.015,0.000000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,sd6,0.01,0.610000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,sd6,0.015,0.980000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,sd6,0.02,1.000000,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,sd6,0.015,0.490000,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,sd6,0.01,0.518000,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,sd6,0.01,0.506000,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,sd6,0.015,0.521000,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,sd6,0.02,0.491000,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,sd6,0.02,0.514000,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,sd6,0.01,0.104000,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,sd6,0.02,0.510000,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,sd6,0.015,0.377000,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,sd6,0.015,0.477000,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,sd6,0.01,0.494000,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,sd6,0.02,0.496000,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,sd6,0.01,0.371000,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,sd6,0.015,0.479000,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,sd6,0.02,0.507000,N/A,N/A,N/A
