backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,hh,bposd,11,1,10000,pm3,0.01,0.000400,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,pm3,0.1,0.384700,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,pm3,0.01,0.000200,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.1,0.375900,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.01,0.000300,N/A,N/A,N/A
custom_full,300,gross,bposd,150,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,pm3,0.1,0.388100,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,300,color,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.01,0.000100,N/A,N/A,N/A
custom_full,300,color,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,sd6,0.1,0.382400,N/A,N/A,N/A
custom_full,300,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.01,0.000500,N/A,N/A,N/A
custom_full,350,gross,bposd,175,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.1,0.391800,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.01,0.000100,N/A,N/A,N/A
custom_full,300,color,bposd,11,1,10000,sd6,0.001,0.000100,N/A,N/A,N/A
custom_full,350,gross,bposd,175,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.01,0.000300,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,color,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.1,0.388200,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.01,0.000200,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,color,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,1,10000,sd6,0.1,0.489600,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,sd6,0.01,0.000000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,1,10000,pm3,0.1,0.500700,N/A,N/A,N/A
custom_full,350,color,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,sd6,0.1,0.390300,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.1,0.381500,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,1,10000,pm3,0.1,0.380800,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.01,0.000400,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.01,0.000200,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.1,0.389200,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,color,bposd,11,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.01,0.000200,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.01,0.000200,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.1,0.387100,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,pm3,0.1,0.382800,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,color,bposd,13,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,color,bposd,11,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,400,color,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,1,10000,sd6,0.1,0.506000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,1,10000,pm3,0.1,0.498400,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,sd6,0.01,0.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,10000,pm3,0.01,0.000100,N/A,N/A,N/A
custom_full,400,color,bposd,13,1,10000,sd6,0.001,0.000000,N/A,N/A,N/A
custom_full,400,color,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,1,10000,sd6,0.0001,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,sd6,0.01,0.000000,N/A,N/A,N/A
custom_full,350,surface,bposd,13,1,10000,pm3,0.01,0.000000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,1,10000,pm3,0.0001,0.000000,N/A,N/A,N/A
custom_full,450,hh,bposd,13,1,10000,pm3,0.001,0.000000,N/A,N/A,N/A
custom_full,450,hh,bposd,13,1,10000,sd6,0.01,0.000300,N/A,N/A,N/A
