backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,400,steane,bposd,9,3,1000,modsi1000,0.005,0.151000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,modsi1000,0.005,0.157000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,modsi1000,0.005,0.145000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,modsi1000,0.005,0.160000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,modsi1000,0.005,0.149000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,modsi1000,0.01,0.253000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,modsi1000,0.01,0.247000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,modsi1000,0.01,0.232000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,modsi1000,0.01,0.250000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,modsi1000,0.01,0.247000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,modsi1000,0.01,0.502000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,modsi1000,0.01,0.532000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,modsi1000,0.01,0.491000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,modsi1000,0.005,0.598000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,modsi1000,0.005,0.628000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,modsi1000,0.005,0.615000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,modsi1000,0.005,0.636000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,modsi1000,0.005,0.630000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,modsi1000,0.01,0.496000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,modsi1000,0.01,0.495000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,modsi1000,0.005,0.439000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,modsi1000,0.005,0.418000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,modsi1000,0.01,1.000000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,modsi1000,0.01,0.999000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,modsi1000,0.01,1.000000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,modsi1000,0.01,1.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,modsi1000,0.01,1.000000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,modsi1000,0.005,0.432000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,modsi1000,0.005,0.032000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,modsi1000,0.005,0.500000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,modsi1000,0.005,0.454000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,modsi1000,0.01,0.274000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,modsi1000,0.005,0.019000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,modsi1000,0.005,0.267000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,modsi1000,0.005,0.282000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,modsi1000,0.005,0.274000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,modsi1000,0.01,0.479000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,modsi1000,0.01,0.517000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,modsi1000,0.01,0.494000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,modsi1000,0.01,0.276000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,modsi1000,0.005,0.027000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,modsi1000,0.01,0.292000,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,modsi1000,0.005,0.016000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,modsi1000,0.005,0.127000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,modsi1000,0.005,0.115000,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,modsi1000,0.005,0.278000,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,modsi1000,0.005,0.311000,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,modsi1000,0.01,0.507000,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,modsi1000,0.01,0.491000,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,modsi1000,0.01,0.283000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,modsi1000,0.01,0.450000,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,modsi1000,0.005,0.009000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,modsi1000,0.01,0.465000,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,modsi1000,0.01,0.311000,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,modsi1000,0.005,0.120000,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,modsi1000,0.005,0.130000,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,modsi1000,0.01,0.456000,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,modsi1000,0.01,0.501000,N/A,N/A,N/A
custom_full,500,color,bposd,15,3,1000,modsi1000,0.005,0.135000,N/A,N/A,N/A
custom_full,500,color,bposd,15,3,1000,modsi1000,0.01,0.491000,N/A,N/A,N/A
