backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,350,gross,bposd,175,1,1000,pm3,0.01,0.060000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,1000,pm3,0.01,0.005000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,1000,sd6,0.01,0.007000,N/A,N/A,N/A
custom_full,350,surface,bposd,11,1,1000,pm3,0.01,0.007000,N/A,N/A,N/A
custom_full,350,surface,bposd,11,1,1000,sd6,0.01,0.004000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,1,1000,pm3,0.01,0.070000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,1,1000,sd6,0.01,0.060000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,1,1000,pm3,0.01,0.060000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,1,1000,sd6,0.01,0.060000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,1,1000,pm3,0.01,0.050000,N/A,N/A,N/A
custom_full,300,color,bposd,11,1,1000,sd6,0.01,0.033000,N/A,N/A,N/A
custom_full,350,color,bposd,11,1,1000,sd6,0.01,0.033000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,1,1000,pm3,0.01,0.080000,N/A,N/A,N/A
custom_full,300,color,bposd,11,1,1000,pm3,0.01,0.029000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,1,1000,sd6,0.01,0.050000,N/A,N/A,N/A
custom_full,350,color,bposd,11,1,1000,pm3,0.01,0.042000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,1000,pm3,0.01,0.006000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,1,1000,sd6,0.01,0.005000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,1,1000,sd6,0.01,0.080000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,1,1000,sd6,0.01,0.060000,N/A,N/A,N/A
custom_full,450,surface,bposd,13,1,1000,sd6,0.01,0.004000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,1,1000,sd6,0.01,0.235000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,1,1000,pm3,0.01,0.248000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,1,1000,pm3,0.01,0.238000,N/A,N/A,N/A
custom_full,450,surface,bposd,13,1,1000,pm3,0.01,0.003000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,1,1000,sd6,0.01,0.244000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,1,1000,pm3,0.01,0.240000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,1,1000,sd6,0.01,0.273000,N/A,N/A,N/A
custom_full,400,color,bposd,13,1,1000,sd6,0.01,0.021000,N/A,N/A,N/A
custom_full,400,color,bposd,13,1,1000,pm3,0.01,0.016000,N/A,N/A,N/A
custom_full,450,color,bposd,13,1,1000,pm3,0.01,0.026000,N/A,N/A,N/A
custom_full,450,color,bposd,13,1,1000,sd6,0.01,0.026000,N/A,N/A,N/A
custom_full,500,surface,bposd,15,1,1000,pm3,0.01,0.001000,N/A,N/A,N/A
custom_full,500,surface,bposd,15,1,1000,sd6,0.01,0.001000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,1,1000,sd6,0.01,0.305000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,1,1000,pm3,0.01,0.292000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,1,1000,sd6,0.01,0.305000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,1,1000,pm3,0.01,0.332000,N/A,N/A,N/A
custom_full,500,color,bposd,15,1,1000,pm3,0.01,0.028000,N/A,N/A,N/A
custom_full,500,color,bposd,15,1,1000,sd6,0.01,0.020000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,1,1000,pm3,0.01,0.272000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,1,1000,sd6,0.01,0.278000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,1,1000,sd6,0.01,0.288000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,1,1000,pm3,0.01,0.259000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,1,1000,pm3,0.01,0.267000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,1,1000,pm3,0.01,0.255000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,1,1000,sd6,0.01,0.256000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,1,1000,sd6,0.01,0.279000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,1,1000,pm3,0.01,0.247000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,1,1000,sd6,0.01,0.246000,N/A,N/A,N/A
