backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,gross,bposd,150,3,1000,em3_1,0.01,0.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,em3_1,0.015,0.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,em3_2,0.015,0.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,em3_2,0.01,0.000000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_1,0.015,0.000000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_2,0.01,0.000000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_1,0.01,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_1,0.01,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_2,0.01,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_2,0.015,0.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_1,0.015,0.020000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_2,0.015,0.000000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_2,0.05,0.372000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_2,0.05,0.348000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_2,0.01,0.000000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_1,0.015,0.000000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,em3_2,0.01,0.000000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_2,0.015,0.000000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_1,0.01,0.000000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_1,0.01,0.000000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_1,0.015,0.000000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_2,0.015,0.000000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_2,0.01,0.000000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_2,0.01,0.105000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_1,0.05,0.366000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_1,0.01,0.117000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_2,0.01,0.098000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,em3_2,0.01,0.000000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_2,0.015,0.154000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_2,0.05,0.333000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,em3_2,0.015,0.000000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_2,0.05,0.377000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_2,0.015,0.170000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_2,0.01,0.116000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_2,0.01,0.102000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,em3_2,0.05,0.336000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_1,0.015,0.163000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_1,0.05,0.382000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,em3_2,0.015,0.004000,N/A,N/A,N/A
