backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,bacon,bposd,17,3,1000,si1000,0.015,0.486000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.005,0.030000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.005,0.070000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.015,0.500000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.005,0.050000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.005,0.120000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.005,0.100000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.015,0.467000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.015,0.495000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.015,0.501000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.005,0.004000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.005,0.006000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.01,0.511000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.005,0.001000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,si1000,0.01,0.502000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.01,0.471000,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,si1000,0.005,0.003000,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,si1000,0.005,0.005000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.01,0.482000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.01,0.460000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.005,0.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.01,0.920000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.01,0.940000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.01,0.940000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.01,0.910000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.01,0.108000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.015,1.000000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.01,0.960000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.015,1.000000,N/A,N/A,N/A
custom_full,500,color,bposd,15,3,1000,si1000,0.005,0.001000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.015,1.000000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.01,0.121000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.005,0.001000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.015,1.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.01,0.061000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.015,1.000000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.015,0.276000,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,si1000,0.005,0.000000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.015,0.333000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.015,0.339000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.01,0.062000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.015,0.265000,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,si1000,0.01,0.139000,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,si1000,0.01,0.136000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.005,0.270000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,si1000,0.005,0.267000,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,si1000,0.005,0.000000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.01,0.070000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.015,0.267000,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,si1000,0.015,0.382000,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,si1000,0.015,0.373000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,si1000,0.005,0.120000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,si1000,0.005,0.141000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,si1000,0.005,0.136000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.005,0.331000,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,si1000,0.01,0.060000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,si1000,0.015,0.473000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,si1000,0.01,0.464000,N/A,N/A,N/A
