backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,gross,bposd,150,3,1000,pc3,0.005,0.010000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,pc3,0.005,0.030000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,pc3,0.005,0.010000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,pc3,0.005,0.030000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,pc3,0.005,0.020000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,si1000,0.005,0.147000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,si1000,0.005,0.130000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,si1000,0.005,0.149000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,si1000,0.005,0.125000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,si1000,0.005,0.143000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,pc3,0.005,0.153000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,pc3,0.005,0.178000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,pc3,0.005,0.178000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,pc3,0.005,0.157000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,pc3,0.005,0.146000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,si1000,0.01,0.232000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,si1000,0.01,0.241000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,si1000,0.01,0.265000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,si1000,0.01,0.250000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,pc3,0.01,0.262000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,pc3,0.01,0.263000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,si1000,0.01,0.254000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,pc3,0.01,0.265000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,pc3,0.01,0.295000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,pc3,0.01,0.273000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.01,0.499000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,si1000,0.01,0.512000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,pc3,0.01,0.590000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.005,0.600000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.005,0.600000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.005,0.660000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,pc3,0.01,0.630000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.005,0.650000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,pc3,0.01,0.620000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,pc3,0.01,0.620000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.005,0.690000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.01,0.486000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,pc3,0.01,0.680000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.01,1.000000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.01,1.000000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.01,1.000000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.01,1.000000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.01,1.000000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.01,0.506000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,si1000,0.005,0.455000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.01,0.488000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.005,0.452000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.005,0.442000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,pc3,0.01,0.477000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,pc3,0.01,0.474000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,pc3,0.005,0.006000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,pc3,0.005,0.249000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,pc3,0.005,0.277000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.005,0.017000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.005,0.495000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.005,0.468000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,pc3,0.01,0.133000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.01,0.264000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,pc3,0.01,0.475000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,pc3,0.005,0.004000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,pc3,0.005,0.278000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.005,0.022000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,pc3,0.005,0.195000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,si1000,0.005,0.268000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,pc3,0.005,0.216000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,si1000,0.005,0.268000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,si1000,0.005,0.301000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,pc3,0.005,0.202000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,si1000,0.01,0.494000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,si1000,0.01,0.473000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,si1000,0.01,0.521000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,pc3,0.01,0.465000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,pc3,0.01,0.474000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,pc3,0.01,0.106000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,pc3,0.01,0.478000,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.01,0.310000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,pc3,0.01,0.470000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,pc3,0.005,0.007000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,pc3,0.01,0.498000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,pc3,0.005,0.307000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.005,0.014000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,pc3,0.005,0.332000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,pc3,0.01,0.120000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.01,0.309000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,pc3,0.005,0.055000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,pc3,0.005,0.072000,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,pc3,0.005,0.001000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.005,0.138000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.005,0.147000,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,si1000,0.005,0.011000,N/A,N/A,N/A
