backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,bacon,bposd,17,17,10000,constant,0.002,0.001600,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,constant,0.002,0.001200,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,constant,0.002,0.002000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.002,0.015300,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,modsi1000,0.002,0.016100,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,constant,0.002,0.001400,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,modsi1000,0.002,0.022700,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,constant,0.004,0.035100,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,constant,0.002,0.001500,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.008,0.413200,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,modsi1000,0.008,0.419600,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,modsi1000,0.002,0.026100,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,modsi1000,0.008,0.440200,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.004,0.157100,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,modsi1000,0.004,0.172300,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,constant,0.004,0.035000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,modsi1000,0.002,0.018800,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,modsi1000,0.008,0.451400,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,modsi1000,0.008,0.441700,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,modsi1000,0.004,0.189100,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,constant,0.008,0.227400,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,constant,0.008,0.241300,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,constant,0.008,0.264200,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,constant,0.004,0.041500,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,constant,0.004,0.047500,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,modsi1000,0.004,0.217900,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,modsi1000,0.004,0.223000,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,constant,0.004,0.051400,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,constant,0.008,0.292800,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,constant,0.008,0.285600,N/A,N/A,N/A
custom_full,500,gross,bposd,250,250,10000,constant,0.002,0.001800,N/A,N/A,N/A
custom_full,350,gross,bposd,175,175,10000,constant,0.002,0.001500,N/A,N/A,N/A
custom_full,450,gross,bposd,225,225,10000,constant,0.002,0.002200,N/A,N/A,N/A
