backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_heavyhex,114,bacon,bposd,7,7,1000,constant,0.002,0.021000,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,modsi1000,0.002,0.036000,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,constant,0.004,0.094000,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,modsi1000,0.004,0.152000,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,modsi1000,0.008,0.358000,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,constant,0.008,0.249000,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,constant,0.002,0.032000,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,modsi1000,0.002,0.057000,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,constant,0.004,0.087000,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,modsi1000,0.008,0.391000,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,modsi1000,0.002,0.041000,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,constant,0.004,0.138000,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,modsi1000,0.004,0.210000,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,constant,0.002,0.059000,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,constant,0.008,0.320000,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,modsi1000,0.004,0.096000,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,modsi1000,0.002,0.028000,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,constant,0.002,0.065000,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,modsi1000,0.002,0.111000,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,constant,0.002,0.068000,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,modsi1000,0.008,0.326000,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,modsi1000,0.004,0.043000,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,constant,0.008,0.249000,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,constant,0.008,0.458000,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,constant,0.004,0.288000,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,constant,0.004,0.116000,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,modsi1000,0.008,0.478000,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,modsi1000,0.004,0.359000,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,modsi1000,0.008,0.466000,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,constant,0.008,0.216000,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,modsi1000,0.008,0.099000,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,constant,0.002,0.109000,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,modsi1000,0.002,0.202000,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,constant,0.008,0.452000,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,constant,0.004,0.383000,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,modsi1000,0.004,0.414000,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,modsi1000,0.008,0.459000,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,constant,0.008,0.494000,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,modsi1000,0.004,0.454000,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,constant,0.002,0.175000,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,modsi1000,0.002,0.258000,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,constant,0.004,0.412000,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,constant,0.002,0.047000,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,modsi1000,0.002,0.075000,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,constant,0.004,0.240000,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,modsi1000,0.004,0.249000,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,modsi1000,0.008,0.435000,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,modsi1000,0.002,0.227000,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,constant,0.002,0.198000,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,constant,0.008,0.475000,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,modsi1000,0.004,0.388000,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,constant,0.002,0.163000,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,modsi1000,0.002,0.180000,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,constant,0.004,0.437000,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,constant,0.008,0.512000,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,modsi1000,0.008,0.499000,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,constant,0.004,0.357000,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,modsi1000,0.004,0.401000,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,modsi1000,0.008,0.497000,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,constant,0.008,0.473000,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,constant,0.002,0.415000,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,modsi1000,0.002,0.423000,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,modsi1000,0.008,0.518000,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,constant,0.004,0.483000,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,modsi1000,0.004,0.520000,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,constant,0.008,0.506000,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,constant,0.002,0.326000,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,modsi1000,0.002,0.368000,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,constant,0.004,0.517000,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,constant,0.008,0.511000,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,modsi1000,0.004,0.530000,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,modsi1000,0.002,0.100000,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,constant,0.002,0.176000,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,modsi1000,0.002,0.137000,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,modsi1000,0.002,0.061000,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,modsi1000,0.008,0.457000,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,modsi1000,0.002,0.089000,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,constant,0.004,0.311000,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,constant,0.008,0.429000,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,constant,0.002,0.181000,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,modsi1000,0.004,0.147000,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,constant,0.002,0.174000,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,modsi1000,0.008,0.271000,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,constant,0.008,0.438000,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,modsi1000,0.004,0.122000,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,constant,0.008,0.445000,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,constant,0.004,0.300000,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,modsi1000,0.004,0.104000,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,modsi1000,0.008,0.333000,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,constant,0.002,0.177000,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,constant,0.004,0.307000,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,constant,0.004,0.316000,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,modsi1000,0.004,0.220000,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,modsi1000,0.008,0.222000,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,constant,0.008,0.453000,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,modsi1000,0.008,0.218000,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,modsi1000,0.002,0.339000,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,constant,0.002,0.316000,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,modsi1000,0.004,0.517000,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,modsi1000,0.008,0.488000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,modsi1000,0.008,1.000000,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,constant,0.004,0.497000,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,constant,0.008,0.494000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,modsi1000,0.004,1.000000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,constant,0.008,0.999000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,constant,0.002,0.999000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,modsi1000,0.002,1.000000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,modsi1000,0.004,0.999000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,constant,0.002,0.480000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,modsi1000,0.008,1.000000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,constant,0.004,1.000000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,constant,0.008,1.000000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,modsi1000,0.004,0.469000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,constant,0.002,1.000000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,modsi1000,0.002,0.489000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,modsi1000,0.002,1.000000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,constant,0.004,1.000000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,constant,0.004,0.503000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,modsi1000,0.008,0.476000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,constant,0.008,0.484000,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,modsi1000,0.002,0.479000,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,modsi1000,0.004,0.488000,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,constant,0.008,0.468000,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,constant,0.002,0.468000,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,modsi1000,0.008,0.500000,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,constant,0.004,0.507000,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,constant,0.002,0.433000,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,modsi1000,0.002,0.431000,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,modsi1000,0.004,0.507000,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,modsi1000,0.008,0.515000,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,constant,0.004,0.509000,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,constant,0.008,0.520000,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,constant,0.002,0.515000,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,modsi1000,0.008,0.521000,N/A,N/A,N/A
