backend,backend_size,code,distance,cycles,state,translating_method,gate_set,original_total_gates,transpiled_total_gates,gate_overhead
custom_full,300,steane,9,9,,qiskit,stim,3121,3121,0
custom_full,300,steane,9,9,,qiskit,h2,3121,13445,10324
custom_full,300,steane,9,9,,qiskit,ibm_heron,3121,18967,15846
custom_full,300,color,11,11,,qiskit,stim,6360,6360,0
custom_full,300,color,11,11,,qiskit,h2,6360,28560,22200
custom_full,300,color,11,11,,qiskit,ibm_heron,6360,40200,33840
custom_full,300,surface,11,11,,qiskit,stim,6160,6160,0
custom_full,300,gross,150,150,,qiskit,stim,12168,12168,0
custom_full,300,bacon,17,17,,qiskit,stim,1666,1666,0
custom_full,300,bacon,17,17,,qiskit,h2,1666,6596,4930
custom_full,300,bacon,17,17,,qiskit,ibm_heron,1666,9350,7684
custom_full,300,surface,11,11,,qiskit,h2,6160,26840,20680
custom_full,300,hh,11,11,,qiskit,stim,8360,8360,0
custom_full,300,gross,150,150,,qiskit,h2,12168,55440,43272
custom_full,300,surface,11,11,,qiskit,ibm_heron,6160,37840,31680
custom_full,300,gross,150,150,,qiskit,ibm_heron,12168,77976,65808
custom_full,300,hh,11,11,,qiskit,h2,8360,37840,29480
custom_full,300,hh,11,11,,qiskit,ibm_heron,8360,53240,44880
custom_full,300,bacon,17,17,,bqskit,stim,1666,1666,0
custom_full,300,steane,9,9,,bqskit,stim,3121,3121,0
custom_full,300,bacon,17,17,,bqskit,h2,1666,2890,1224
custom_full,300,bacon,17,17,,bqskit,ibm_heron,1666,2890,1224
custom_full,300,color,11,11,,bqskit,stim,6360,6360,0
custom_full,300,surface,11,11,,bqskit,stim,6160,6160,0
custom_full,300,hh,11,11,,bqskit,stim,8360,8360,0
custom_full,300,gross,150,150,,bqskit,stim,12168,12168,0
