backend,backend_size,code,distance,cycles,state,translating_method,gate_set,original_total_gates,original_2q_gates,gate_overhead_mean,gate_overhead_var,tq_gate_overhead_mean,tq_gate_overhead_var
custom_full,300,bacon,17,17,,qiskit,h2,1666,1088,3842.0,0.0,0.0,0.0
custom_full,300,steane,9,9,,qiskit,h2,3121,2401,6995.0,0.0,0.0,0.0
custom_full,300,bacon,17,17,,qiskit,ibm_heron,1666,1088,5508.0,0.0,0.0,0.0
custom_full,300,color,11,11,,qiskit,h2,6360,5280,22200.0,0.0,0.0,0.0
custom_full,300,surface,11,11,,qiskit,h2,6160,4840,20680.0,0.0,0.0,0.0
custom_full,300,steane,9,9,,qiskit,ibm_heron,3121,2401,4964.0,0.0,0.0,0.0
custom_full,300,hh,11,11,,qiskit,h2,8360,7040,29480.0,0.0,0.0,0.0
custom_full,300,gross,150,150,,qiskit,h2,12168,10368,43272.0,0.0,0.0,0.0
custom_full,300,bacon,17,17,,tket,h2,1666,1088,9860.0,0.0,0.0,0.0
custom_full,300,color,11,11,,qiskit,ibm_heron,6360,5280,23280.0,0.0,0.0,0.0
custom_full,300,surface,11,11,,qiskit,ibm_heron,6160,4840,22000.0,0.0,0.0,0.0
custom_full,300,hh,11,11,,qiskit,ibm_heron,8360,7040,30800.0,0.0,0.0,0.0
custom_full,300,bacon,17,17,,tket,ibm_heron,1666,1088,15300.0,0.0,0.0,0.0
custom_full,300,gross,150,150,,qiskit,ibm_heron,12168,10368,45072.0,0.0,0.0,0.0
custom_full,300,steane,9,9,,tket,h2,3121,2401,20648.0,0.0,0.0,0.0
custom_full,300,surface,11,11,,tket,h2,6160,4840,41360.0,0.0,0.0,0.0
custom_full,300,color,11,11,,tket,h2,6360,5280,44400.0,0.0,0.0,0.0
custom_full,300,hh,11,11,,tket,h2,8360,7040,58960.0,0.0,0.0,0.0
custom_full,300,gross,150,150,,tket,h2,12168,10368,86544.0,0.0,0.0,0.0
custom_full,300,steane,9,9,,tket,ibm_heron,3121,2401,32653.0,0.0,0.0,0.0
custom_full,300,surface,11,11,,tket,ibm_heron,6160,4840,65560.0,0.0,0.0,0.0
custom_full,300,color,11,11,,tket,ibm_heron,6360,5280,70800.0,0.0,0.0,0.0
custom_full,300,hh,11,11,,tket,ibm_heron,8360,7040,94160.0,0.0,0.0,0.0
custom_full,300,gross,150,150,,tket,ibm_heron,12168,10368,138384.0,0.0,0.0,0.0
