backend,backend_size,code,distance,cycles,state,translating_method,gate_set,gate_overhead
custom_full,300,bacon,17,17,,bqskit,h2,1232
custom_full,300,bacon,17,17,,bqskit,ibm_heron,1232
custom_full,300,bacon,17,17,,tket,h2,9860
custom_full,300,bacon,17,17,,tket,ibm_heron,15300
custom_full,300,steane,9,9,,bqskit,h2,34201
custom_full,300,steane,9,9,,bqskit,ibm_heron,34542
custom_full,300,steane,9,9,,tket,h2,20648
custom_full,300,steane,9,9,,tket,ibm_heron,32653
custom_full,300,color,11,11,,bqskit,h2,110010
custom_full,300,surface,11,11,,bqskit,h2,102158
custom_full,300,color,11,11,,bqskit,ibm_heron,110010
custom_full,300,color,11,11,,tket,h2,44400
custom_full,300,color,11,11,,tket,ibm_heron,70800
custom_full,300,hh,11,11,,bqskit,h2,146236
custom_full,300,surface,11,11,,bqskit,ibm_heron,102158
custom_full,300,surface,11,11,,tket,h2,41360
custom_full,300,surface,11,11,,tket,ibm_heron,65560
custom_full,300,gross,150,150,,bqskit,h2,214658
custom_full,300,hh,11,11,,bqskit,ibm_heron,146236
custom_full,300,hh,11,11,,tket,h2,58960
custom_full,300,hh,11,11,,tket,ibm_heron,94160
custom_full,300,gross,150,150,,bqskit,ibm_heron,214658
custom_full,300,gross,150,150,,tket,h2,86544
custom_full,300,gross,150,150,,tket,ibm_heron,138384
