backend,backend_size,code,distance,cycles,state,translating_method,gate_set,gate_overhead,tq_gate_overhead
custom_full,300,bacon,17,17,,qiskit,ibm_heron,5508,0
custom_full,300,steane,9,9,,qiskit,ibm_heron,4964,0
custom_full,300,bacon,17,17,,qiskit,h2,3842,0
custom_full,300,steane,9,9,,qiskit,h2,6995,0
custom_full,300,surface,11,11,,qiskit,ibm_heron,22000,0
custom_full,300,color,11,11,,qiskit,ibm_heron,23280,0
custom_full,300,hh,11,11,,qiskit,ibm_heron,30800,0
custom_full,300,surface,11,11,,qiskit,h2,20680,0
custom_full,300,color,11,11,,qiskit,h2,22200,0
custom_full,300,gross,150,150,,qiskit,ibm_heron,45072,0
custom_full,300,hh,11,11,,qiskit,h2,29480,0
custom_full,300,gross,150,150,,qiskit,h2,43272,0
