backend,backend_size,code,distance,cycles,state,translating_method,gate_set,gate_overhead,tq_gate_overhead
custom_full,300,bacon,17,17,,qiskit,h2,4930,0
custom_full,300,steane,9,9,,qiskit,h2,10324,0
custom_full,300,bacon,17,17,,qiskit,ibm_heron,7684,0
custom_full,300,color,11,11,,qiskit,h2,22200,0
custom_full,300,steane,9,9,,qiskit,ibm_heron,15846,0
custom_full,300,surface,11,11,,qiskit,h2,20680,0
custom_full,300,hh,11,11,,qiskit,h2,29480,0
custom_full,300,color,11,11,,qiskit,ibm_heron,33840,0
custom_full,300,surface,11,11,,qiskit,ibm_heron,31680,0
custom_full,300,gross,150,150,,qiskit,h2,43272,0
custom_full,300,hh,11,11,,qiskit,ibm_heron,44880,0
custom_full,300,gross,150,150,,qiskit,ibm_heron,65808,0
custom_full,300,bacon,17,17,,bqskit,h2,1232,-1088
custom_full,300,bacon,17,17,,bqskit,ibm_heron,1232,-1088
custom_full,300,bacon,17,17,,tket,h2,9860,0
custom_full,300,bacon,17,17,,tket,ibm_heron,15300,0
custom_full,300,steane,9,9,,bqskit,h2,34300,-120
custom_full,300,steane,9,9,,bqskit,ibm_heron,34905,-65
custom_full,300,steane,9,9,,tket,h2,20648,0
custom_full,300,steane,9,9,,tket,ibm_heron,32653,0
custom_full,300,color,11,11,,bqskit,h2,110010,0
custom_full,300,surface,11,11,,bqskit,h2,102158,0
custom_full,300,color,11,11,,bqskit,ibm_heron,110010,0
custom_full,300,color,11,11,,tket,h2,44400,0
custom_full,300,color,11,11,,tket,ibm_heron,70800,0
custom_full,300,hh,11,11,,bqskit,h2,146236,0
custom_full,300,surface,11,11,,bqskit,ibm_heron,102158,0
custom_full,300,surface,11,11,,tket,h2,41360,0
custom_full,300,surface,11,11,,tket,ibm_heron,65560,0
custom_full,300,gross,150,150,,bqskit,h2,214658,0
custom_full,300,hh,11,11,,bqskit,ibm_heron,146236,0
custom_full,300,hh,11,11,,tket,h2,58960,0
custom_full,300,hh,11,11,,tket,ibm_heron,94160,0
custom_full,300,gross,150,150,,bqskit,ibm_heron,214658,0
custom_full,300,gross,150,150,,tket,h2,86544,0
custom_full,300,gross,150,150,,tket,ibm_heron,138384,0
