backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
variance_mid,,steane,bposd,9,9,1000,real_heron,0.004,0.071000,N/A,N/A,N/A
variance_mid,,steane,bposd,9,9,1000,variance,0.004,0.059000,N/A,N/A,N/A
variance_low,,steane,bposd,9,9,1000,real_heron,0.004,0.065000,N/A,N/A,N/A
variance_low,,steane,bposd,9,9,1000,variance,0.004,0.056000,N/A,N/A,N/A
variance_mid,,hh,bposd,11,11,1000,real_heron,0.004,0.502000,N/A,N/A,N/A
variance_mid,,hh,bposd,11,11,1000,variance,0.004,0.517000,N/A,N/A,N/A
variance_high,,hh,bposd,11,11,1000,real_heron,0.004,0.490000,N/A,N/A,N/A
variance_high,,hh,bposd,11,11,1000,variance,0.004,0.487000,N/A,N/A,N/A
variance_low,,hh,bposd,11,11,1000,real_heron,0.004,0.494000,N/A,N/A,N/A
variance_low,,hh,bposd,11,11,1000,variance,0.004,0.482000,N/A,N/A,N/A
variance_high,,steane,bposd,9,9,1000,real_heron,0.004,0.051000,N/A,N/A,N/A
variance_high,,steane,bposd,9,9,1000,variance,0.004,0.049000,N/A,N/A,N/A
variance_mid,,gross,bposd,12,12,1000,real_heron,0.004,1.000000,N/A,N/A,N/A
variance_mid,,gross,bposd,12,12,1000,variance,0.004,0.999000,N/A,N/A,N/A
variance_low,,gross,bposd,12,12,1000,variance,0.004,0.999000,N/A,N/A,N/A
variance_low,,gross,bposd,12,12,1000,real_heron,0.004,0.999000,N/A,N/A,N/A
variance_high,,surface,bposd,13,13,1000,real_heron,0.004,0.499000,N/A,N/A,N/A
variance_high,,surface,bposd,13,13,1000,variance,0.004,0.502000,N/A,N/A,N/A
variance_mid,,surface,bposd,13,13,1000,real_heron,0.004,0.478000,N/A,N/A,N/A
variance_mid,,surface,bposd,13,13,1000,variance,0.004,0.507000,N/A,N/A,N/A
variance_mid,,color,bposd,13,13,1000,real_heron,0.004,0.520000,N/A,N/A,N/A
variance_mid,,color,bposd,13,13,1000,variance,0.004,0.503000,N/A,N/A,N/A
variance_low,,surface,bposd,13,13,1000,real_heron,0.004,0.471000,N/A,N/A,N/A
variance_low,,surface,bposd,13,13,1000,variance,0.004,0.506000,N/A,N/A,N/A
variance_low,,color,bposd,13,13,1000,real_heron,0.004,0.492000,N/A,N/A,N/A
variance_low,,color,bposd,13,13,1000,variance,0.004,0.502000,N/A,N/A,N/A
variance_high,,gross,bposd,12,12,1000,real_heron,0.004,1.000000,N/A,N/A,N/A
variance_high,,gross,bposd,12,12,1000,variance,0.004,1.000000,N/A,N/A,N/A
variance_mid,,bacon,bposd,19,19,1000,real_heron,0.004,0.477000,N/A,N/A,N/A
variance_high,,color,bposd,13,13,1000,real_heron,0.004,0.540000,N/A,N/A,N/A
variance_high,,color,bposd,13,13,1000,variance,0.004,0.504000,N/A,N/A,N/A
variance_mid,,bacon,bposd,19,19,1000,variance,0.004,0.503000,N/A,N/A,N/A
variance_low,,bacon,bposd,19,19,1000,real_heron,0.004,0.518000,N/A,N/A,N/A
variance_low,,bacon,bposd,19,19,1000,variance,0.004,0.489000,N/A,N/A,N/A
variance_high,,bacon,bposd,19,19,1000,real_heron,0.004,0.503000,N/A,N/A,N/A
variance_high,,bacon,bposd,19,19,1000,variance,0.004,0.499000,N/A,N/A,N/A
